iter	MultiClass
0	1.683388395
1	1.588885651
2	1.511056924
3	1.443099537
4	1.391149735
5	1.339896043
6	1.291585296
7	1.248734681
8	1.214382435
9	1.17964094
10	1.144869983
11	1.11501247
12	1.087573481
13	1.063340478
14	1.039222151
15	1.015844356
16	0.9931987919
17	0.9743174903
18	0.9546115619
19	0.9391476964
20	0.9207842289
21	0.9056990647
22	0.8890280307
23	0.874312831
24	0.8607299078
25	0.8481195387
26	0.8355379216
27	0.8252419531
28	0.81377361
29	0.8042786899
30	0.7942612639
31	0.7854466444
32	0.7771999856
33	0.7689249675
34	0.7596987262
35	0.7527270378
36	0.7439574831
37	0.7361007943
38	0.7278204864
39	0.7208854289
40	0.7142440473
41	0.7090758287
42	0.7039817167
43	0.6987255717
44	0.6930007208
45	0.6881417018
46	0.6830757497
47	0.678594711
48	0.6739074201
49	0.6698516311
50	0.6659520185
51	0.6619326035
52	0.657736529
53	0.6544283091
54	0.6504168593
55	0.6475559226
56	0.6439373357
57	0.6410317636
58	0.6370531837
59	0.6332230081
60	0.6300713304
61	0.6276845848
62	0.6249273408
63	0.622483078
64	0.6197299164
65	0.6174014263
66	0.6145533589
67	0.6126202193
68	0.6101668509
69	0.6075573151
70	0.6052044197
71	0.6027869423
72	0.6005417809
73	0.5983781297
74	0.5967334709
75	0.5951197076
76	0.5936977593
77	0.5921519339
78	0.590022442
79	0.5881403464
80	0.5866873194
81	0.584866467
82	0.5832168898
83	0.5820197867
84	0.5811607147
85	0.5796408136
86	0.5784486485
87	0.5769457133
88	0.5749878227
89	0.5736276187
90	0.5724223022
91	0.5713060631
92	0.5706887792
93	0.5692224653
94	0.5678326065
95	0.5669845154
96	0.5658314087
97	0.5647584168
98	0.5638035176
99	0.5628139728
