iter	Passed	Remaining
0	29	2913
1	63	3098
2	90	2931
3	117	2830
4	142	2711
5	167	2620
6	189	2522
7	214	2463
8	236	2392
9	260	2348
10	282	2282
11	304	2232
12	328	2197
13	354	2176
14	379	2151
15	405	2127
16	427	2086
17	450	2050
18	474	2024
19	499	1996
20	522	1966
21	546	1935
22	568	1902
23	591	1873
24	640	1922
25	675	1923
26	703	1903
27	729	1875
28	755	1849
29	778	1817
30	802	1785
31	830	1765
32	858	1742
33	884	1716
34	910	1690
35	934	1660
36	956	1629
37	980	1599
38	1002	1568
39	1027	1541
40	1048	1509
41	1071	1479
42	1094	1450
43	1118	1422
44	1141	1394
45	1163	1365
46	1186	1338
47	1209	1310
48	1232	1282
49	1255	1255
50	1275	1225
51	1298	1198
52	1321	1171
53	1343	1144
54	1362	1115
55	1385	1088
56	1407	1061
57	1429	1035
58	1452	1009
59	1473	982
60	1495	956
61	1517	930
62	1539	904
63	1563	879
64	1586	854
65	1610	829
66	1633	804
67	1656	779
68	1679	754
69	1702	729
70	1726	705
71	1747	679
72	1769	654
73	1792	629
74	1816	605
75	1839	580
76	1863	556
77	1884	531
78	1907	506
79	1928	482
80	1953	458
81	1977	433
82	2001	409
83	2024	385
84	2048	361
85	2072	337
86	2094	313
87	2118	288
88	2142	264
89	2165	240
90	2188	216
91	2214	192
92	2237	168
93	2261	144
94	2282	120
95	2304	96
96	2326	71
97	2351	47
98	2374	23
99	2398	0
